INFO  - 2017-12-18 22:53:00.500; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-12-18 22:53:00.517; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor D:\pythonspace\mysite\solr-4.10.4\example\contexts at interval 0
INFO  - 2017-12-18 22:53:00.522; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: D:\pythonspace\mysite\solr-4.10.4\example\contexts\solr-jetty-context.xml
INFO  - 2017-12-18 22:53:02.342; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-12-18 22:53:02.381; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-12-18 22:53:02.395; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-12-18 22:53:02.396; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: D:\pythonspace\mysite\solr-4.10.4\example\solr
INFO  - 2017-12-18 22:53:02.397; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'D:\pythonspace\mysite\solr-4.10.4\example\solr\'
INFO  - 2017-12-18 22:53:02.487; org.apache.solr.core.ConfigSolr; Loading container configuration from D:\pythonspace\mysite\solr-4.10.4\example\solr\solr.xml
INFO  - 2017-12-18 22:53:02.588; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: D:\pythonspace\mysite\solr-4.10.4\example\solr
INFO  - 2017-12-18 22:53:02.593; org.apache.solr.core.CoreContainer; New CoreContainer 2028265136
INFO  - 2017-12-18 22:53:02.594; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=D:\pythonspace\mysite\solr-4.10.4\example\solr\]
INFO  - 2017-12-18 22:53:02.603; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-12-18 22:53:02.604; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-12-18 22:53:02.607; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-12-18 22:53:02.607; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-12-18 22:53:02.608; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-12-18 22:53:02.609; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-12-18 22:53:02.609; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-12-18 22:53:02.609; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-12-18 22:53:02.609; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-12-18 22:53:02.610; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2017-12-18 22:53:02.956; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2017-12-18 22:53:02.957; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-12-18 22:53:02.959; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-12-18 22:53:02.960; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2017-12-18 22:53:07.513; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath D:\pythonspace\mysite\solr-4.10.4\example\solr
INFO  - 2017-12-18 22:53:07.524; org.apache.solr.core.CorePropertiesLocator; Found core blog in D:\pythonspace\mysite\solr-4.10.4\example\solr\blog\
INFO  - 2017-12-18 22:53:07.530; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in D:\pythonspace\mysite\solr-4.10.4\example\solr\collection1\
INFO  - 2017-12-18 22:53:07.530; org.apache.solr.core.CorePropertiesLocator; Found 2 core definitions
